"last_name, first_name",player_id,year,player_age,p_game,p_formatted_ip,pa,k_percent,bb_percent,xba,xslg,woba,xwoba,solidcontact_percent,poorlyweak_percent,hard_hit_percent,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,linedrives_percent,popups_percent,pitch_hand,n,n_ff_formatted,ff_avg_speed,ff_avg_spin,ff_avg_break_x,ff_avg_break_z,ff_avg_break,ff_range_speed,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_ch_formatted,ch_avg_speed,ch_avg_spin,ch_avg_break_x,ch_avg_break_z,ch_avg_break,ch_range_speed,n_cu_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,n_si_formatted,si_avg_speed,si_avg_spin,si_avg_break_x,si_avg_break_z,si_avg_break,si_range_speed,n_fc_formatted,fc_avg_speed,fc_avg_spin,fc_avg_break_x,fc_avg_break_z,fc_avg_break,fc_range_speed,n_fs_formatted,fs_avg_speed,fs_avg_spin,fs_avg_break_x,fs_avg_break_z,fs_avg_break,fs_range_speed,n_kn_formatted,kn_avg_speed,kn_avg_spin,kn_avg_break_x,kn_avg_break_z,kn_avg_break,kn_range_speed,n_st_formatted,st_avg_speed,st_avg_spin,st_avg_break_x,st_avg_break_z,st_avg_break,st_range_speed,n_sv_formatted,sv_avg_speed,sv_avg_spin,sv_avg_break_x,sv_avg_break_z,sv_avg_break,sv_range_speed,n_fo_formatted,fo_avg_speed,fo_avg_spin,fo_avg_break_x,fo_avg_break_z,fo_avg_break,fo_range_speed,n_sc_formatted,sc_avg_speed,sc_avg_spin,sc_avg_break_x,sc_avg_break_z,sc_avg_break,sc_range_speed
"Law, Derek",571882,2023,32,54,55,240,18.8,10.8,0.266,0.394,0.311,0.334,5.4,7.8,32.5,26.9,47.8,42.2,25.3,25.9,6.6,R,959,18.9,95.5,2124,-4.5,-13.8,16.9,1.6,17.3,86.5,2338,3.5,-37.5,4.5,1.7,4.8,88.7,1931,-14.4,-27,16.6,1.5,10.4,78.7,2205,1,-51.2,7.6,1.9,12.1,95.1,2166,-12.8,-17.6,18.1,1.4,36.5,92.1,2363,2.4,-23.7,9,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hamilton, Ian",641656,2023,28,39,58,239,28.9,10.9,0.22,0.322,0.275,0.29,3.5,6.4,36.9,34.4,47.5,56,14.9,24.8,4.3,R,979,22.5,96.2,2307,-8.7,-14.1,17.9,1.1,54.2,88.1,1512,1.1,-32.1,3.9,1.5,,,,,,,,,,,,,,,23.3,95.6,2171,-16.4,-21,18.9,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miller, Bryce",682243,2023,24,25,131.1,537,22.2,4.8,0.27,0.468,0.309,0.337,6.8,2.9,42.1,24.1,52.8,34.5,29.6,28.3,7.5,R,2094,58.5,95.1,2591,-3.5,-11.8,18.8,1.3,19,86.6,2416,2.1,-34.5,3.4,1.3,5.6,85,2054,-15.7,-29.4,17.9,1.8,0.9,78.2,2333,8.6,-60.1,17.5,1.5,7.6,95.1,2451,-14.1,-17.9,18.8,1.3,,,,,,,,,,,,,,,,,,,,,,8.5,81.2,2187,14.9,-47.4,16.2,1.5,,,,,,,,,,,,,,,,,,,,,
"Suarez, Robert",663158,2023,32,26,27.2,108,22.2,9.3,0.217,0.366,0.222,0.279,2.7,4.1,36.5,26.2,49.2,50,25.7,20.3,4.1,R,449,38.1,97.7,2363,-7.3,-11.3,19,1.6,4.5,86.7,2056,4.3,-34.3,5,1.4,33.6,89.7,1816,-16.5,-26.2,18.3,1.7,,,,,,,,22.9,97.3,2291,-13,-13.6,20.2,1.7,0.9,89.6,2105,2.8,-28,7,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lucchesi, Joey",664192,2023,30,9,46.2,195,16.4,8.7,0.275,0.473,0.316,0.354,4.9,6.9,38.2,17.4,43.8,47.9,22.2,22.2,7.6,L,696,,,,,,,,,,,,,,,0.7,81.8,1337,2.9,-33.2,8.2,1.5,24.7,77.9,2132,-2.5,-46.6,3.9,1.9,51,90,2169,14.4,-23.4,18.1,1.5,23.6,90.4,2205,4.3,-18.9,15.4,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Martin, Chris",455119,2023,37,55,51.1,199,23.1,4,0.265,0.345,0.243,0.277,3.4,9,31,23.3,58.3,50.3,15.2,30.3,4.1,R,722,34.5,95.7,2181,-8.2,-15.1,17,1.1,1.4,86.3,2073,4.1,-27.3,10.6,1.4,,,,,,,,,,,,,,,15,94.9,2099,-15.2,-20.5,18.3,1,34.5,92.3,2175,2.1,-23.9,8.6,1.3,10.7,88.2,1445,-10.5,-33.6,10.8,1.3,,,,,,,,4,85,2437,13.3,-39.6,14.4,1.6,,,,,,,,,,,,,,,,,,,,,
"Soriano, José",667755,2023,24,38,42,185,30.3,12.4,0.209,0.351,0.303,0.31,4,2,44.8,36.2,42.9,52.5,21.2,22.2,4,R,670,25.8,98.9,2152,-11.7,-16.5,16.6,1.1,4.9,89.9,2347,0.8,-35.1,3,1.4,,,,,,,,41.2,86.8,2225,11.3,-44.8,14.1,1.1,13.3,97.7,1895,-16.8,-22,18.4,1.1,,,,,,,,14.8,95.6,1703,-14.9,-27.9,15.4,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lambert, Peter",663567,2023,26,25,87.1,375,18.9,7.5,0.266,0.499,0.367,0.354,7.4,1.5,45.8,21.6,47.5,41,32.1,21.4,5.5,R,1450,44.6,93.2,2213,-8.3,-15.7,17.8,1.3,21.2,88.1,2277,3.4,-29.2,7.6,1.9,20,86.2,1507,-11.9,-31,13.3,1.2,3.2,78,2087,6.5,-59.1,15.4,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,82.6,2541,13.4,-40.3,13.8,1.2,,,,,,,,,,,,,,,,,,,,,
"Bielak, Brandon",656232,2023,27,15,80,353,17.6,10.2,0.27,0.457,0.357,0.354,5.6,4,48.4,23.7,45,51.2,22.4,22,4.4,R,1388,30.6,92.1,2415,-3.9,-18.7,14.5,1,11.8,82,2383,12.1,-46.2,13.3,0.9,24.9,87.1,1877,-15,-31,16,0.9,11.2,79.5,2393,5.8,-58.9,16.3,1.2,21.5,92.1,2210,-13.5,-25.3,15.4,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lynch IV, Daniel",663738,2023,26,9,52.1,223,15.2,7.2,0.269,0.466,0.312,0.34,6.4,2.9,32,24.6,48.8,39.5,32.6,16.9,11,L,808,42.8,92.6,2150,4.9,-15.5,17.2,1.4,18.7,87.6,2195,-2.1,-29.5,6.9,1.4,28,84.1,1632,11.9,-29.8,15.2,1.3,8.5,80.7,2193,-7.4,-42.8,7.7,1.7,2,92.4,2038,12.9,-20.2,17.6,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hollowell, Gavin",668970,2023,25,26,33.2,154,20.8,11.7,0.249,0.442,0.36,0.354,6.1,7.1,35.7,25.5,46.2,33.7,31.6,23.5,11.2,R,610,34.3,93.4,2547,-8.4,-19.2,14.6,1.3,32.8,82.3,2420,13,-38.2,13.6,2.8,,,,,,,,,,,,,,,30.2,94.1,2452,-15.6,-26.7,16.3,1.5,2.8,86.6,2380,1,-29.8,6.7,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Thornton, Trent",663423,2023,29,27,31.1,125,20.8,4.8,0.227,0.364,0.31,0.273,6.5,5.4,29,22,47.6,39.8,30.1,21.5,8.6,R,458,33.6,94.1,2425,-2.7,-14.5,16.6,1,9.6,87.7,2837,4.7,-33.7,5.6,1.3,,,,,,,,10.5,80.2,3079,9.6,-58.4,18.3,1.3,11.8,93.6,2302,-11.4,-21.6,15,1.3,,,,,,,,,,,,,,,,,,,,,,34.5,79.6,2966,18.5,-43.7,18.8,1.1,,,,,,,,,,,,,,,,,,,,,
"Mayers, Mike",594577,2023,31,6,26.1,119,14.3,8.4,0.284,0.419,0.369,0.331,10.9,3.3,35.9,19.5,47.3,44.6,27.2,22.8,5.4,R,455,31,92.9,2283,-8,-15,18.6,1.3,31.2,83.9,2161,3.8,-40.7,4.8,1.2,10.8,85.8,1569,-14.6,-31,15.9,1.4,6.4,75.9,2419,10.7,-58,15.1,1.3,11.4,91.7,2090,-14.3,-22.5,17.5,1.3,9.2,88.6,2278,3.6,-27.4,8.3,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Morton, Charlie",450203,2023,39,30,163.1,716,25.6,11.6,0.248,0.399,0.318,0.33,5.5,3.9,39.1,32.2,42.9,44.2,25.2,26.1,4.6,R,2842,31.7,94.9,2307,-13.3,-19.5,17.3,1.3,,,,,,,,10.3,86,2131,-17.2,-36.7,17.3,1.5,43.2,82.3,3088,13.6,-48.3,15.9,1.1,6.8,94.2,2146,-17.8,-25.7,18.7,1.3,8,89.1,2480,-0.6,-27.1,7.4,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bumgarner, Madison",518516,2023,33,4,16.2,90,11.1,16.7,0.334,0.577,0.451,0.433,4.7,7.8,43.8,17.1,43.4,35.9,29.7,25,9.4,L,350,33.1,89.5,2160,6.1,-18.9,16.6,1.1,,,,,,,,12.3,84.3,1514,13.8,-34.7,14.5,1.4,19.7,77.2,2286,-8.9,-49.6,9.8,1.4,,,,,,,,34.9,86.2,2244,-2.8,-28.5,9,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bradish, Kyle",680694,2023,26,30,168.2,671,25,6.6,0.239,0.388,0.268,0.3,5.6,2.4,42,25.9,45.8,49.1,22.4,25.8,2.7,R,2638,22.4,94.5,2383,2.9,-17.8,13.2,1.3,31.2,88.1,2650,12.5,-35.4,12.8,1.4,8.3,90.8,1376,-12.2,-25.4,14.6,1.7,17.3,84.8,2615,5.5,-51,14.1,1.5,20.7,95,2216,-11.1,-19,16.2,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hicks, Jordan",663855,2023,26,65,65.2,285,28.4,11.2,0.21,0.309,0.296,0.283,4.8,5.4,35.7,28.2,41.4,58.9,16.1,21.4,3.6,R,1114,10.8,100.3,2362,-6.4,-11.3,17.3,1.8,3.5,87.1,2477,4.4,-38.3,5.3,2.1,,,,,,,,,,,,,,,64.3,100.1,2111,-15.8,-19,18,1.9,,,,,,,,1.6,91.4,980,-10.1,-33.7,10.3,1.6,,,,,,,,19.8,86.8,2574,12.4,-36.2,12.7,2.4,,,,,,,,,,,,,,,,,,,,,
"Ort, Kaleb",672391,2023,31,21,23,107,22.4,8.4,0.239,0.47,0.379,0.33,2.7,6.8,39.7,19.9,48.2,32.9,38.4,16.4,12.3,R,386,71.5,95.8,2300,-9.6,-12.4,20.2,1.4,23.3,84,2476,14,-40.1,14.3,1.3,1.8,90.7,1976,-17.8,-26.4,19.2,1.3,,,,,,,,,,,,,,,3.4,91.4,2348,0.2,-19.3,13.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Olson, Reese",681857,2023,23,21,103.2,422,24.4,7.8,0.254,0.458,0.283,0.333,7,3.9,42.8,27.4,46.3,42.1,24.9,26.3,6.7,R,1743,28.5,94.8,2282,-9.5,-15.9,17.5,1,30.6,84.8,2989,7.8,-40.8,8.8,1.4,15.1,87.8,2089,-13.4,-35.5,13.7,1.2,5.8,78.8,2800,11.6,-59.8,19.2,1.1,20,94.8,2135,-15.8,-20.9,18.6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Harvey, Hunter",640451,2023,28,57,60.2,235,28.5,5.5,0.224,0.38,0.252,0.283,7.2,3.3,41.2,26.3,50.9,43.8,31.4,20.9,3.9,R,963,60,98.3,2078,-7.6,-11.5,18.6,1.2,13.9,86.6,2354,2.6,-36.1,3.3,1.8,,,,,,,,7.4,83.1,2052,7.3,-51.3,13.7,1.5,,,,,,,,,,,,,,,18.7,89.5,1081,-10.4,-31.7,11,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Llovera, Mauricio",661440,2023,27,30,35,160,18.1,9.4,0.269,0.432,0.312,0.339,5.4,0.9,41.1,17.3,42.8,49.1,20.5,23.2,7.1,R,621,,,,,,,,34,82.7,2555,15.3,-38.8,15.6,1.4,,,,,,,,,,,,,,,63.1,94.5,2083,-16.2,-23.7,17.8,1.1,2.9,90.4,2406,0.4,-25.6,7.8,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Keuchel, Dallas",572971,2023,35,10,37.2,172,14.5,10.5,0.29,0.451,0.363,0.358,7.1,5.5,34.6,20.4,42.6,53.5,18.9,25.2,2.4,L,658,,,,,,,,12.9,78.3,2451,-8.2,-43.2,9,1.2,27.1,80.3,1681,14.2,-38.6,14.8,1,,,,,,,,34.7,87.4,1997,15.3,-30.3,16.3,0.9,25.4,84.8,2266,-1.4,-30.2,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Criswell, Cooper",681867,2023,26,10,33,151,17.9,7.3,0.279,0.443,0.368,0.346,4.6,2.8,33,17.7,45.8,43.1,21.1,32.1,3.7,R,554,,,,,,,,7,82,2424,7.3,-35.4,9.3,1.2,13,83.5,1520,-14.5,-44,15.4,1.3,,,,,,,,34.1,88.4,2047,-18.1,-33.1,18.4,1.3,17.9,84,2364,1.8,-32.1,7.7,1.3,,,,,,,,,,,,,,,28,76.2,2493,20.1,-43.5,20.7,1.6,,,,,,,,,,,,,,,,,,,,,
"Cessa, Luis",570666,2023,31,7,26,132,8.3,9.1,0.38,0.563,0.446,0.437,7.4,1.9,46.3,14.2,47.3,38,16.7,38,7.4,R,463,23.5,91.9,2219,-8.4,-18.8,16.1,1.1,37.6,81.2,2459,6.1,-46.3,8.2,1,22.2,86.3,1658,-13.4,-33.1,14.2,1.2,,,,,,,,16.6,92,2169,-14.9,-22.9,17.8,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dunning, Dane",641540,2023,28,35,172.2,722,19.4,7.6,0.261,0.415,0.31,0.325,6.6,3.3,40.2,22.2,47,47.2,24.2,22.4,6.2,R,2696,3.2,90.5,2135,-6.1,-21.7,13.5,1.2,23.4,82.1,2361,3,-42,4,1.7,15.6,85.7,1775,-16.9,-32.4,17.7,1.2,4.7,77.7,2173,10.5,-60.6,18.3,1.6,33.1,91,2055,-14.1,-25.4,16.3,1.1,20,88.9,2190,1.1,-24.4,10.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Saucedo, Tayler",642048,2023,30,52,47.2,207,20.8,11.1,0.246,0.337,0.298,0.313,0.7,8.9,31.9,29.6,45.8,58.5,14.1,23.7,3,L,789,2.3,92.9,2446,10.9,-16.7,18.7,1.3,13.9,82.6,2395,-6,-41.7,6.8,1.4,25.9,86,2203,18.2,-34.6,18.6,1.4,5.7,77.1,2442,-11.9,-55,15,1.4,39.9,92.3,2336,17.7,-28.5,18.2,1.2,,,,,,,,,,,,,,,,,,,,,,12.3,82.5,2310,-9.4,-35.9,10.8,1.3,,,,,,,,,,,,,,,,,,,,,
"Waldron, Matt",663362,2023,26,8,41.1,173,17.9,6.9,0.258,0.447,0.328,0.325,4.6,6.2,38.5,18.9,47.8,40,26.9,22.3,10.8,R,673,20.5,91.3,2046,-7.5,-17.6,17.2,2.1,,,,,,,,,,,,,,,,,,,,,,23.6,91.3,2012,-16.1,-24.4,18.4,1.4,13.1,86.7,2184,3,-27.7,9.2,1.5,,,,,,,,26.7,76.6,319,-3.6,-50.1,9.3,2.7,16,79.8,2281,15.4,-39.4,16,1.6,,,,,,,,,,,,,,,,,,,,,
"Germán, Domingo",593334,2023,30,20,108.2,444,25.7,7.7,0.238,0.423,0.297,0.319,4.1,4.5,41.4,30.3,50.9,39.7,28.6,22.1,9.7,R,1653,27.7,92.3,2508,-10.1,-16.1,19.2,1.2,,,,,,,,20.9,85.8,2393,-17.3,-27.9,19.8,1.4,40.9,82.9,2669,0.7,-37.7,2.5,1.5,10.5,92.4,2405,-17.2,-24.3,19,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rodón, Carlos",607074,2023,30,14,64.1,286,22.4,9.8,0.253,0.471,0.357,0.351,9,1.6,41.8,26.3,53.4,27.5,39.2,25.9,7.4,L,1133,60.4,95.3,2343,6.3,-12.7,18.7,1.6,28.9,85.4,2508,-8,-38.4,8.7,2,4.3,85.5,1514,11.4,-32.2,12.9,1.8,6.4,79.7,2502,-6.7,-55,13.7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kerr, Ray",678061,2023,28,22,27,114,30.7,7.9,0.257,0.451,0.341,0.331,10.1,13,46.4,32.2,47.3,40.6,23.2,30.4,5.8,L,427,51.3,95.9,2242,9.4,-15.6,17.1,1.4,,,,,,,,,,,,,,,43.3,82.5,1921,-0.3,-42.9,3.2,1.4,,,,,,,,,,,,,,,5.4,90.9,1414,12.2,-25,15.2,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lugo, Seth",607625,2023,33,26,146.1,604,23.2,6,0.26,0.444,0.306,0.323,7.5,3.1,44.2,21.8,46.3,45.4,24.2,26.4,4,R,2376,31.9,93.4,2267,-6.5,-14.5,18.2,1.6,9.1,85.8,2578,4.9,-34.2,6.9,3.3,5.9,86.3,1543,-10,-31.1,11.8,1.6,28.7,79.5,3243,12.3,-60.2,20.5,2,19.9,93.2,2333,-15.6,-21.4,18.7,1.4,,,,,,,,,,,,,,,,,,,,,,2,82.3,2786,13.6,-37,14.7,1.6,2.7,80.6,3068,18.4,-48.8,19.6,1.5,,,,,,,,,,,,,,
"Winder, Josh",680739,2023,26,19,34.2,147,19,9.5,0.251,0.442,0.331,0.335,7.6,1.9,43.8,20.3,48.5,41,29.5,25.7,3.8,R,559,24.5,94.5,2061,-8.1,-15.2,17.4,1.1,34,85.1,2198,1.9,-36.9,2.8,1.1,24.9,89,1305,-11.9,-29.7,13.1,1.2,9.5,80,2102,4.8,-52.2,11,1.4,5.9,94.7,1949,-15.3,-19.5,18.9,1.3,,,,,,,,,,,,,,,,,,,,,,1.3,83.4,2483,12.1,-44,13.2,1.4,,,,,,,,,,,,,,,,,,,,,
"Stratton, Chris",608717,2023,32,64,82.2,338,24,7.4,0.225,0.383,0.283,0.293,7,2.6,39.1,21.9,47.5,39.1,31.7,20.9,8.3,R,1357,54.7,93.1,2542,-3.5,-16.1,16,1.1,19.3,86.9,2873,6.2,-33.6,7.3,1.3,7.2,86.8,2186,-13.1,-33.3,13.5,1.3,18.8,80.8,3223,16.3,-50.8,18.6,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Whitlock, Garrett",676477,2023,27,22,71.2,304,23.7,4.3,0.273,0.46,0.35,0.329,6.5,2.8,42.6,28.1,51.2,44,25.9,24.5,5.6,R,1195,0.4,94.6,2016,-9.8,-15.9,17.7,1.4,0.1,81.8,2183,3.5,-45.1,5.4,,24.1,82.7,2129,-17,-36.4,17.7,2,,,,,,,,52.5,94,2074,-15.3,-18.2,20.1,1.5,,,,,,,,,,,,,,,,,,,,,,22.9,79.6,2114,9.3,-47.2,10.4,1.6,,,,,,,,,,,,,,,,,,,,,
"Manaea, Sean",640455,2023,31,37,117.2,499,25.7,8.4,0.243,0.403,0.306,0.315,5,2.8,36.4,24.1,49.8,42.4,24.3,26.2,7.2,L,2052,56.2,93.6,2039,15,-20.6,18.5,1.6,13.9,84.4,2061,-1.9,-36.2,4,2.3,17,86.6,1486,12.9,-31,14.3,2.1,,,,,,,,0.8,94,2105,19.3,-21.5,21.7,1.4,0,90.3,2006,8.4,-23.5,12.8,,,,,,,,,,,,,,,,12,79.8,2118,-10.5,-40.6,11.5,1.9,,,,,,,,,,,,,,,,,,,,,
"Anderson, Tyler",542881,2023,33,27,141,629,18.9,10.2,0.259,0.434,0.345,0.34,6.8,4.6,32.3,27.8,49.7,31,33.9,26.9,8.2,L,2431,37.4,90.1,2218,4.9,-15.1,19.4,1.5,0.6,78.3,2371,-7.9,-41.3,9.6,1.5,33.9,80,1862,13,-31.3,17.5,1.6,0.2,72.9,2242,-0.7,-60.1,8.9,1.5,5.5,88.5,2227,18,-28.5,19.5,1.5,22.4,85.1,2439,-3.3,-26.5,11.9,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pressly, Ryan",519151,2023,34,65,65.1,268,27.6,6,0.239,0.403,0.269,0.294,5.1,1.7,43.5,31,50.7,54.8,23.2,19.8,2.3,R,1024,23.1,94.7,2557,-0.9,-12.7,17.9,1.2,40,89.8,2746,4.7,-30.9,6,1.2,8.9,89.9,2012,-13.1,-29.8,14.1,1.2,26.6,82.1,3288,14.7,-53.8,19.5,1.3,0.2,94.2,2530,-11.3,-20.3,15.7,1.4,1.2,94.4,2603,3,-18.5,12.3,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Strzelecki, Peter",657265,2023,28,37,37,163,22.7,7.4,0.239,0.394,0.303,0.32,7.5,3.8,36.8,26.6,45.5,38.7,34,22.6,4.7,R,653,36,92,2410,-9.1,-18.6,16.6,1.3,26.6,80.9,2969,17.9,-38.8,18.6,1.6,17.8,83.8,1676,-16.8,-40.8,17,1.7,,,,,,,,19.3,91.1,2294,-16.5,-28.9,17.3,1.5,0.3,90.5,2367,0.6,-22.9,9.6,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pfaadt, Brandon",694297,2023,24,19,96,421,22.3,6.2,0.253,0.458,0.362,0.325,5.7,3,44,25,49.3,32.6,33.9,25.2,8.4,R,1610,45.3,93.7,2469,-6.3,-15.7,16.8,1.1,,,,,,,,12.2,86.7,1955,-15.8,-33.2,16.2,1.3,5.5,78.8,2473,13.2,-51.9,15.6,1.4,9.9,93.1,2312,-15.5,-24.4,17.2,1.1,,,,,,,,,,,,,,,,,,,,,,27,83.8,2724,11.8,-33,13.6,1.3,,,,,,,,,,,,,,,,,,,,,
"Martinez, Seth",661527,2023,28,35,43,195,23.1,9.7,0.269,0.453,0.345,0.353,8.8,7.2,45.6,25.4,45.8,39.2,24,28.8,8,R,764,39.9,91.1,2164,-9.4,-20.2,16.1,0.9,,,,,,,,16.1,86.2,1653,-15.4,-36.8,15.6,1.1,,,,,,,,17.1,90.2,2058,-14.1,-31.7,14.4,0.9,,,,,,,,,,,,,,,,,,,,,,26.8,79.3,2472,12.9,-35.8,15.6,1.3,,,,,,,,,,,,,,,,,,,,,
"Moore, Matt",519043,2023,34,50,52.2,218,27.5,6.9,0.214,0.37,0.296,0.282,5,3.6,36.7,28.2,53.1,35,33.6,22.9,8.6,L,831,48,94,2323,9.7,-13.6,20.1,1.1,,,,,,,,31.3,84.2,2017,16.9,-30.9,18.8,1.3,20.7,84.3,2347,-2.4,-47.6,9.7,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Herget, Jimmy",623474,2023,29,29,29,127,20.5,6.3,0.251,0.462,0.367,0.322,13.2,3.3,38.5,20.4,47.2,28.6,36.3,25.3,9.9,R,509,5.3,92.7,2360,-15.2,-23.2,17.6,1.4,30.8,85.2,2610,1.7,-32.8,5.7,1.5,5.9,85.7,1490,-8.8,-39.3,9.6,1.4,38.5,77.2,2843,16.7,-41.1,17.8,1.7,19.4,91.7,2302,-17.7,-33.4,18,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Schmidt, Clarke",657376,2023,27,33,159,694,21.5,6.6,0.256,0.417,0.334,0.32,5.5,2.9,41,22.6,47.1,43.6,24.6,23.8,8,R,2712,,,,,,,,,,,,,,,1.5,89.4,2124,-8.4,-31.3,9,1.5,19.1,83.7,2930,16,-46.8,17.8,1.1,24.1,93.4,2546,-9.2,-24.3,11.9,1.5,27.9,91.3,2725,3.1,-24.9,8.6,1.4,,,,,,,,,,,,,,,27.4,86,2945,9,-32.3,10.3,1.3,,,,,,,,,,,,,,,,,,,,,
"Ober, Bailey",641927,2023,27,26,144.1,577,25.3,5,0.226,0.412,0.294,0.295,5.8,3.8,35.7,28.7,53.1,34.7,35.2,20.8,9.4,R,2327,45.7,91.3,2313,-7.5,-16.2,18.2,1.1,19.6,81,2105,11.5,-39.7,12.3,1.5,28,83.7,2084,-17.2,-33.7,18.2,1.3,6.7,77.5,2182,8.8,-54.9,13.1,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senga, Kodai",673540,2023,30,29,166.1,694,29.1,11.1,0.225,0.365,0.282,0.304,5.4,4.2,40.6,29.7,45.2,44,24.9,21.8,9.3,R,2795,37,95.7,2283,-8,-13.4,18.5,1.7,5.8,84.6,2483,1.7,-36.7,4,2,,,,,,,,2.7,72.8,2489,3.5,-63.1,12,2.6,,,,,,,,25,90.8,2498,0.6,-23.4,10,2.1,,,,,,,,,,,,,,,5.8,80.9,2580,12.5,-45.2,13.2,2.9,,,,,,,,23.8,83.2,1118,-7.2,-37.7,8.7,1.7,,,,,,,
"Javier, Cristian",664299,2023,26,31,162,687,23.1,9,0.23,0.443,0.317,0.324,7.4,3.5,38.3,27.1,48,26.1,38.8,24.2,10.9,R,2882,58.4,92.7,2255,-5.6,-13.3,19.6,1.2,30,79.5,2552,14,-41.1,14.6,1.5,4.1,83.7,2398,-15.9,-31.5,17.8,1.5,7.5,76.6,2937,12.2,-57.4,16.3,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rutledge, Jackson",671131,2023,24,4,20,88,13.6,6.8,0.274,0.52,0.376,0.364,11.8,1.5,50,21.3,48.8,26.5,33.8,25,14.7,R,346,45.7,95.8,2378,-12.4,-15.2,19.3,1.2,21.7,85.2,2009,0.9,-37,2.3,1.5,12.7,89,1944,-17.7,-30.1,18.3,1.2,5.8,80.2,1945,5.3,-51.8,10.8,1.4,14.2,94.8,2234,-18.1,-23.2,19.6,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Moll, Sam",594580,2023,31,70,62.1,268,25.4,11.2,0.201,0.281,0.265,0.262,5.5,4.9,35.6,22.5,44.6,52.1,23.3,19,5.5,L,1025,25.2,94.1,2584,10,-19.2,15.6,1.4,,,,,,,,1.4,86.4,1687,13,-41.5,14,1.6,,,,,,,,35.6,93.4,2352,16.4,-30,16.7,1.5,,,,,,,,,,,,,,,,,,,,,,37.9,81.8,3049,-17.1,-41.6,17.4,1.3,,,,,,,,,,,,,,,,,,,,,
